Deal,AQIIndex,ClosePrice,Europe_change,Global_GasPrice,Eco_rmb,JDWeather,cer_rmb_diff,TAN180_Change
14.31,105,1877,0.27,3700,5.2373,0,0.259067358,5.3931
13.2,83,1876.5,0.41,3700,7.6351,0,0.387596899,25.3977
13.74,73,1745.5,0.05,3050,8.6802,0,5.398631714,6.8551
13.8,57,1731.5,-0.06,3080,5.338,0,-0.128534704,-14.4588
14.1,49,1759,-0.28,3061.667,4.9691,0,-0.257400257,-11.6138
13.78,61,1746,0.03,3020,7.1077,0,0,-26.6107
13.75,85,1787,0.23,2981.667,6.8452,0,0.258064516,-22.8456
15.01,133,1851,-0.02,2973.333,4.5844,0,0,10.6428
13.58,118,1893.5,0.1,2963.333,4.1448,0,0.128700129,12.3004
14,89,1840,-0.19,2960,7.7996,0,-0.257069409,-28.6274
13.7,89,1931.5,-0.32,2953.333,3.717,0,-0.257731959,-1.7895
13.66,55,1938.5,-0.29,2953.333,6.004,0,-0.387596899,33.3627
13.59,55,1931.5,0.02,2930,11.4211,0,0,-7.6544
13.47,97,1916,-0.21,2930,12.3435,0,-0.129701686,-22.1279
13.88,78,1894.5,-0.35,2925,9.51,0,4.590909091,13.9955
14.11,79,1988.5,-0.57,3163.333,1.7836,0,-0.521512386,0.3643
14.48,61,1983.5,-0.16,3205,1.4014,0,4.487299507,15.3618
15.52,61,1993,-0.02,3238.333,0.381,0,0,-8.8408
14.34,44,2025.5,-0.12,3335,4.0068,0,-0.131406045,21.7502
14.5,58,2022,-0.15,3425,4.2679,0,-0.131578947,18.0155
14.34,55,1985.5,-0.44,3491.667,4.459,0,-0.395256917,-3.0244
14.73,63,1999,-0.06,3608.333,4.3384,0,0,8.4246
14.85,68,2066.5,0.17,3750,2.0955,0,0.132275132,-9.4627
14.6,76,2084,0.02,4383.333,1.7724,0,0,4.5823
14.76,65,2102,0.01,4433.333,6.1595,0,0,10.8773
15.25,58,2117.5,-0.47,4366.667,11.466,1,-0.396301189,-12.939
15.75,57,2106.5,-0.18,4216.667,11.4023,1,-0.265251989,-9.9571
14.72,92,2088,-0.04,4216.667,10.527,0,0,23.09
14.93,110,2060,-0.16,3516.667,7.9875,0,-0.132978723,11.4794
14.97,129,2021.5,0.18,3450,7.7198,0,0.133155792,-7.5406
14.97,166,1959.5,-0.1,3383.333,11.3564,0,-0.132978723,-20.4501
15.19,104,1992,-0.55,3391.667,11.6754,0,-0.532623169,-8.6701
14.91,86,1979,0.15,3391.667,10.9908,0,0.133868809,-6.4703
15,128,1995.5,-0.1,3571.667,11.008,0,0,-2.8276
13.59,81,2059.5,-0.44,3543.333,11.456,0,-0.534759358,-10.2756
15.25,80,2048,-0.47,3505,11.556,0,-0.403225806,-40.5942
15.22,92,2084.5,1,3488.333,11.6021,0,0.944669366,30.1795
14.8,70,2081,0.2,3425,5.5126,0,0.267379679,-11.3895
15.51,80,2025,-0.09,3425,2.247,0,-0.133333333,4.0727
15.19,57,2045,0.22,3350,3.9162,0,0.267022697,8.305
15.32,45,2025,0.02,3350,6.784,0,4.545454545,-0.4297
16.35,42,2078,0.33,3245,8.307,0,0.266311585,-4.6908
15.51,44,2075.5,0.24,3236.667,4.864,0,0.26560425,-29.616
14.98,154,2072,-0.07,3236.667,3.7819,0,-0.132450331,-5.7007
15.13,67,2141.5,-0.03,3145,6.9228,0,0,13.6244
10.32,58,2128,-0.1,3145,9.2448,0,0,-16.234
15.03,49,2187.5,0.14,3120,7.68,0,0.132625995,-1.8771
13.37,47,2196,-1.43,3145,6.8801,0,-1.456953642,-12.32
14.76,50,2086,0.39,3228.333,5.778,0,0.403225806,-59.9874
